x	y	value	x_condition	y_condition
GSM1415910	GSM1022679	0.5203291754156083	Esophagus_Control	Esophagus_EoE
GSM1415911	GSM1022679	0.5345201917236604	Esophagus_Control	Esophagus_EoE
GSM1415912	GSM1022679	0.414154796044198	Esophagus_EoE	Esophagus_EoE
GSM1415913	GSM1022679	0.4117473559633137	Esophagus_EoE	Esophagus_EoE
GSM1415914	GSM1022679	0.42237172478715623	Esophagus_EoE	Esophagus_EoE
GSM1415915	GSM1022679	0.4297080729753636	Esophagus_EoE	Esophagus_EoE
GSM1415916	GSM1022679	0.43473548829208475	Esophagus_EoE	Esophagus_EoE
GSM1415917	GSM1022679	0.4206984090969952	Esophagus_EoE	Esophagus_EoE
GSM1415918	GSM1022679	0.4140161374012068	Esophagus_EoE	Esophagus_EoE
GSM1415919	GSM1022679	0.4240521649455199	Esophagus_EoE	Esophagus_EoE
GSM1415920	GSM1022679	0.41845235978981465	Esophagus_EoE	Esophagus_EoE
GSM1415921	GSM1022679	0.43561431474473933	Esophagus_EoE	Esophagus_EoE
GSM4735785	GSM1022679	0.5776986617637191	Blood_EoE	Esophagus_EoE
GSM4735786	GSM1022679	0.5219650161723124	Blood_Control	Esophagus_EoE
GSM4735787	GSM1022679	0.5210994545374694	Blood_EoE	Esophagus_EoE
GSM4735788	GSM1022679	0.5385640641186789	Blood_GERD	Esophagus_EoE
GSM4735789	GSM1022679	0.5546287233046405	Blood_GERD	Esophagus_EoE
GSM4735790	GSM1022679	0.5384435015892906	Blood_GERD	Esophagus_EoE
GSM4735791	GSM1022679	0.5583229851931268	Blood_GERD	Esophagus_EoE
GSM4735792	GSM1022679	0.5128533127183031	Blood_EoE	Esophagus_EoE
GSM4735793	GSM1022679	0.534786193875815	Blood_EoE	Esophagus_EoE
GSM4735794	GSM1022679	0.538527753516086	Blood_EoE	Esophagus_EoE
GSM4735795	GSM1022679	0.5547780221829197	Esophagus_EoE	Esophagus_EoE
GSM4735796	GSM1022679	0.5210994545374694	Esophagus_Control	Esophagus_EoE
GSM4735797	GSM1022679	0.5210994545374694	Esophagus_EoE	Esophagus_EoE
GSM4735798	GSM1022679	0.538527753516086	Esophagus_GERD	Esophagus_EoE
GSM4735799	GSM1022679	0.5210994545374694	Esophagus_GERD	Esophagus_EoE
GSM4735800	GSM1022679	0.521682329065008	Esophagus_GERD	Esophagus_EoE
GSM4735801	GSM1022679	0.5219650161723124	Esophagus_GERD	Esophagus_EoE
GSM4735802	GSM1022679	0.5213327256791189	Esophagus_EoE	Esophagus_EoE
GSM4735803	GSM1022679	0.5238806667779947	Esophagus_EoE	Esophagus_EoE
GSM4735804	GSM1022679	0.5240812683071745	Esophagus_EoE	Esophagus_EoE
GSM5282507	GSM1022679	0.4334404805111821	Blood_EoE	Esophagus_EoE
GSM5282508	GSM1022679	0.2681892896290591	Blood_EoE	Esophagus_EoE
GSM5282509	GSM1022679	0.48849755877886714	Blood_EoE	Esophagus_EoE
GSM5282510	GSM1022679	0.15052698307448564	Blood_EoE	Esophagus_EoE
GSM5282511	GSM1022679	0.15525069632095334	Blood_EoE	Esophagus_EoE
GSM5282512	GSM1022679	0.2945039660914113	Blood_EoE	Esophagus_EoE
GSM5282513	GSM1022679	0.2205328114871813	Blood_EoE	Esophagus_EoE
GSM5282514	GSM1022679	0.4698278220270956	Blood_EoE	Esophagus_EoE
GSM5282515	GSM1022679	0.24772261222070668	Blood_EoE	Esophagus_EoE
GSM5282516	GSM1022679	0.1522443667973784	Blood_EoE	Esophagus_EoE
GSM5282517	GSM1022679	0.15228019324738384	Blood_EoE	Esophagus_EoE
GSM5282518	GSM1022679	0.4848996064497353	Blood_EoE	Esophagus_EoE
GSM5282519	GSM1022679	0.14048235215855376	Blood_EoE	Esophagus_EoE
GSM5282520	GSM1022679	0.15648027734256986	Blood_EoE	Esophagus_EoE
GSM5282521	GSM1022679	0.15966754597723476	Blood_EoE	Esophagus_EoE
GSM5282522	GSM1022679	0.15494671141415972	Blood_EoE	Esophagus_EoE
GSM5282523	GSM1022679	0.48141927466987466	Blood_EoE	Esophagus_EoE
GSM5282524	GSM1022679	0.496723460338399	Blood_EoE	Esophagus_EoE
GSM5282525	GSM1022679	0.4289782396182562	Blood_EoE	Esophagus_EoE
GSM5282526	GSM1022679	0.3470980589517316	Blood_EoE	Esophagus_EoE
GSM5282527	GSM1022679	0.4746670025135027	Blood_EoE	Esophagus_EoE
GSM5282528	GSM1022679	0.37468031448565475	Blood_EoE	Esophagus_EoE
GSM5282529	GSM1022679	0.46695553784075894	Blood_EoE	Esophagus_EoE
GSM5282530	GSM1022679	0.1604808869642257	Blood_EoE	Esophagus_EoE
GSM5282531	GSM1022679	0.152845244845221	Blood_EoE	Esophagus_EoE
GSM5282532	GSM1022679	0.387204002166478	Blood_EoE	Esophagus_EoE
GSM5282533	GSM1022679	0.4900410869703783	Blood_EoE	Esophagus_EoE
GSM5282534	GSM1022679	0.269874074482089	Blood_EoE	Esophagus_EoE
GSM5282535	GSM1022679	0.48189644880818894	Blood_EoE	Esophagus_EoE
GSM5282536	GSM1022679	0.26200983431698455	Blood_EoE	Esophagus_EoE
GSM4818000	GSM1022679	0.39512887648407147	Blood_IBD	Esophagus_EoE
GSM4818001	GSM1022679	0.5091077157631367	Blood_IBD	Esophagus_EoE
GSM4818002	GSM1022679	0.5209338314174301	Blood_IBD	Esophagus_EoE
GSM4818003	GSM1022679	0.46619785662954416	Blood_IBD	Esophagus_EoE
GSM4818004	GSM1022679	0.4795551401113405	Blood_IBD	Esophagus_EoE
GSM4818005	GSM1022679	0.4281800144096819	Blood_IBD	Esophagus_EoE
GSM4818006	GSM1022679	0.4774501953389707	Blood_IBD	Esophagus_EoE
GSM4818007	GSM1022679	0.2937303628971555	Blood_IBD	Esophagus_EoE
GSM4818008	GSM1022679	0.4480002225691433	Blood_IBD	Esophagus_EoE
GSM4818009	GSM1022679	0.43507453810248486	Blood_IBD	Esophagus_EoE
GSM4818010	GSM1022679	0.48592512951728717	Blood_IBD	Esophagus_EoE
GSM4818011	GSM1022679	0.46192659854348816	Blood_IBD	Esophagus_EoE
GSM4818012	GSM1022679	0.5341800480365593	Blood_IBD	Esophagus_EoE
GSM4818013	GSM1022679	0.41860752780016364	Blood_IBD	Esophagus_EoE
GSM4818014	GSM1022679	0.41291366410131825	Blood_IBD	Esophagus_EoE
GSM4818015	GSM1022679	0.44848945116584205	Blood_IBD	Esophagus_EoE
GSM4818016	GSM1022679	0.45613189824975997	Blood_IBD	Esophagus_EoE
GSM4818017	GSM1022679	0.4654027328201369	Blood_IBD	Esophagus_EoE
GSM4818018	GSM1022679	0.4753691379809887	Blood_IBD	Esophagus_EoE
GSM4818019	GSM1022679	0.4783781128152431	Blood_IBD	Esophagus_EoE
GSM4818020	GSM1022679	0.44411377857978773	Blood_IBD	Esophagus_EoE
GSM4818021	GSM1022679	0.5296036159344638	Blood_IBD	Esophagus_EoE
GSM4818022	GSM1022679	0.4897178421018308	Blood_IBD	Esophagus_EoE
GSM4818023	GSM1022679	0.4129152577377947	Blood_IBD	Esophagus_EoE
GSM1701327	GSM1022679	0.5314947712478265	Blood_IBD	Esophagus_EoE
GSM1701328	GSM1022679	0.5715551586177556	Blood_IBD	Esophagus_EoE
GSM1701329	GSM1022679	0.5711874565643691	Blood_IBD	Esophagus_EoE
GSM1701330	GSM1022679	0.5459868914266974	Blood_IBD	Esophagus_EoE
GSM1701331	GSM1022679	0.5963681225631169	Blood_IBD	Esophagus_EoE
GSM1701332	GSM1022679	0.5748428571409229	Blood_IBD	Esophagus_EoE
GSM1701333	GSM1022679	0.5626144887328488	Blood_IBD	Esophagus_EoE
GSM1701334	GSM1022679	0.574332138162274	Blood_IBD	Esophagus_EoE
GSM1701335	GSM1022679	0.5634963201812458	Blood_IBD	Esophagus_EoE
GSM1701336	GSM1022679	0.5724545742055392	Blood_IBD	Esophagus_EoE
GSM1701337	GSM1022679	0.5652896954824012	Blood_Control	Esophagus_EoE
GSM1701338	GSM1022679	0.5017413375434523	Blood_Control	Esophagus_EoE
GSM1701339	GSM1022679	0.5606570683784846	Blood_Control	Esophagus_EoE
GSM1701340	GSM1022679	0.5605876524437527	Blood_Control	Esophagus_EoE
GSM1701341	GSM1022679	0.45004708254628634	Blood_IBD	Esophagus_EoE
GSM1701342	GSM1022679	0.44932014417531474	Blood_IBD	Esophagus_EoE
GSM1701343	GSM1022679	0.44907999908856433	Blood_IBD	Esophagus_EoE
GSM1701344	GSM1022679	0.44986614604415176	Blood_IBD	Esophagus_EoE
GSM1701345	GSM1022679	0.45044628618986393	Blood_IBD	Esophagus_EoE
GSM1701346	GSM1022679	0.44963804137058383	Blood_IBD	Esophagus_EoE
GSM1701347	GSM1022679	0.44987250764493736	Blood_IBD	Esophagus_EoE
GSM1701348	GSM1022679	0.4494932091152204	Blood_IBD	Esophagus_EoE
GSM1701349	GSM1022679	0.4503999299812943	Blood_IBD	Esophagus_EoE
GSM1701350	GSM1022679	0.45060746461665946	Blood_IBD	Esophagus_EoE
GSM1701351	GSM1022679	0.44935125600680115	Blood_Control	Esophagus_EoE
GSM1701352	GSM1022679	0.4502062609518672	Blood_Control	Esophagus_EoE
GSM1701353	GSM1022679	0.4502352155956165	Blood_Control	Esophagus_EoE
GSM1701354	GSM1022679	0.4500972575380272	Blood_Control	Esophagus_EoE
GSM3496511	GSM1022679	0.3728942067755395	Blood_IBD	Esophagus_EoE
GSM3496512	GSM1022679	0.48318467702028967	Blood_IBD	Esophagus_EoE
GSM3496513	GSM1022679	0.502662203870585	Blood_IBD	Esophagus_EoE
GSM3496514	GSM1022679	0.37361580207360834	Blood_IBD	Esophagus_EoE
GSM3496515	GSM1022679	0.456819993298767	Blood_IBD	Esophagus_EoE
GSM3496516	GSM1022679	0.43700090279796733	Blood_IBD	Esophagus_EoE
GSM3496517	GSM1022679	0.3101178915249114	Blood_IBD	Esophagus_EoE
GSM3496518	GSM1022679	0.41173425076782855	Blood_IBD	Esophagus_EoE
GSM3496519	GSM1022679	0.4149168300139	Blood_IBD	Esophagus_EoE
GSM3496520	GSM1022679	0.15803514401539243	Blood_Control	Esophagus_EoE
GSM3496521	GSM1022679	0.41359135821593973	Blood_Control	Esophagus_EoE
GSM3496522	GSM1022679	0.5018551317291555	Blood_Control	Esophagus_EoE
GSM3496523	GSM1022679	0.2925949849980002	Blood_Control	Esophagus_EoE
GSM3496524	GSM1022679	0.17863835095132108	Blood_Control	Esophagus_EoE
